metric,value,task,file
match_2_accuracy,0.3333333333333333,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_1_accuracy,0.8333333333333334,nBack,sub-SK_task-nBack_run-1.json.parquet
match_1_accuracy,0.8333333333333334,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_1_accuracy,1.0,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_2_accuracy,0.8333333333333334,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_2_accuracy,0.8163265306122449,nBack,sub-SK_task-nBack_run-1.json.parquet
match_2_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_1_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
match_1_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_1_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_2_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_2_omission_rate,0.0,nBack,sub-SK_task-nBack_run-1.json.parquet
match_2_rt,813.3,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_1_rt,753.2291666666666,nBack,sub-SK_task-nBack_run-1.json.parquet
match_1_rt,792.5833333333334,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_1_rt,647.6,nBack,sub-SK_task-nBack_run-1.json.parquet
starter_trial_2_rt,699.3,nBack,sub-SK_task-nBack_run-1.json.parquet
mismatch_2_rt,852.0425531914893,nBack,sub-SK_task-nBack_run-1.json.parquet
proportion_feedback,0.75,nBack,sub-SK_task-nBack_run-1.json.parquet
