metric,value,task,file
doublecue_accuracy,0.9583333333333334,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
doublecue_omission_rate,0.0,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
doublecue_rt,471.6666666666667,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
invalid_accuracy,0.8333333333333334,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
invalid_omission_rate,0.0,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
invalid_rt,440.8,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
nocue_accuracy,0.9726027397260274,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
nocue_omission_rate,0.0,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
nocue_rt,587.6197183098592,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
proportion_feedback,0.0,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
valid_accuracy,0.9814814814814815,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
valid_omission_rate,0.0,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
valid_rt,431.66037735849056,spatialCueing,sub-SK_task-spatialCueing_run-1.json.parquet
