metric,value,task,file
conjunction_24_accuracy,0.8823529411764706,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
conjunction_24_omission_rate,0.03773584905660377,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
conjunction_24_rt,959.3725490196078,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
conjunction_8_accuracy,1.0,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
conjunction_8_omission_rate,0.0,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
conjunction_8_rt,970.4883720930233,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_24_accuracy,0.9821428571428571,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_24_omission_rate,0.0,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_24_rt,664.5,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_8_accuracy,1.0,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_8_omission_rate,0.07317073170731707,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
feature_8_rt,668.3947368421053,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
proportion_feedback,0.0,visualSearch,sub-SK_task-visualSearch_run-1.json.parquet
