metric,value,task,file
doublecue_accuracy,1.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
doublecue_omission_rate,0.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
doublecue_rt,404.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
invalid_accuracy,1.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
invalid_omission_rate,0.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
invalid_rt,334.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
nocue_accuracy,1.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
nocue_omission_rate,0.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
nocue_rt,478.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
proportion_feedback,0.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
valid_accuracy,1.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
valid_omission_rate,0.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
valid_rt,954.0,spatialCueing_practice,sub-s3_task-spatialCueing_run-1.json.parquet
