metric,value,task,file
conjunction_24_accuracy,1.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_24_omission_rate,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_24_rt,918.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_accuracy,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_omission_rate,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_rt,529.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_accuracy,1.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_omission_rate,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_rt,805.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_accuracy,1.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_omission_rate,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_rt,969.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
proportion_feedback,0.0,visualSearch_practice,sub-s3_task-visualSearch_search_rdoc_practice__run-1.json.parquet
