metric,value,task,file
conjunction_24_accuracy,0.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_24_omission_rate,0.5,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_24_rt,1143.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_accuracy,1.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_omission_rate,0.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
conjunction_8_rt,1643.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_accuracy,0.5,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_omission_rate,0.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_24_rt,622.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_accuracy,0.5,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_omission_rate,0.0,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
feature_8_rt,1001.5,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
proportion_feedback,0.3333333333333333,visualSearch_practice,sub-s4_task-visualSearch_search_rdoc_practice__run-1.json.parquet
