metric,value,task,file
AX_accuracy,0.9666666666666667,axCPT,sub-sM_task-axCPT_run-1.json.parquet
AX_omission_rate,0.5,axCPT,sub-sM_task-axCPT_run-1.json.parquet
AX_rt,603.4,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BX_accuracy,1.0,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BX_omission_rate,0.5,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BX_rt,654.28125,axCPT,sub-sM_task-axCPT_run-1.json.parquet
AY_accuracy,1.0,axCPT,sub-sM_task-axCPT_run-1.json.parquet
AY_omission_rate,0.5,axCPT,sub-sM_task-axCPT_run-1.json.parquet
AY_rt,666.6666666666666,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BY_accuracy,1.0,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BY_omission_rate,0.5,axCPT,sub-sM_task-axCPT_run-1.json.parquet
BY_rt,600.3333333333334,axCPT,sub-sM_task-axCPT_run-1.json.parquet
proportion_cue/fixation_responses,0.003870967741935484,axCPT,sub-sM_task-axCPT_run-1.json.parquet
proportion_feedback,0.0,axCPT,sub-sM_task-axCPT_run-1.json.parquet
