metric,value,task,file
4x4_grid_omission_rate,0.9546279491833031,opSpan,sub-sM_task-opSpan_run-1.json.parquet
8x8_grid_asymmetric_accuracy,0.993103448275862,opSpan,sub-sM_task-opSpan_run-1.json.parquet
8x8_grid_asymmetric_rt,771.3379310344827,opSpan,sub-sM_task-opSpan_run-1.json.parquet
8x8_grid_omission_rate,0.33586337760910817,opSpan,sub-sM_task-opSpan_run-1.json.parquet
8x8_grid_symmetric_accuracy,0.9481481481481482,opSpan,sub-sM_task-opSpan_run-1.json.parquet
8x8_grid_symmetric_rt,753.0814814814814,opSpan,sub-sM_task-opSpan_run-1.json.parquet
mean_4x4_grid_accuracy_entirely_correct,0.9233333333333333,opSpan,sub-sM_task-opSpan_run-1.json.parquet
mean_4x4_grid_accuracy_irrespective_of_order,0.74,opSpan,sub-sM_task-opSpan_run-1.json.parquet
mean_4x4_grid_accuracy_respective_of_order,0.56,opSpan,sub-sM_task-opSpan_run-1.json.parquet
mean_number_of_responses,3.76,opSpan,sub-sM_task-opSpan_run-1.json.parquet
mean_time_remaining_after_last_response,-2905.4686367729246,opSpan,sub-sM_task-opSpan_run-1.json.parquet
proportion_feedback,0.4,opSpan,sub-sM_task-opSpan_run-1.json.parquet
