metric,value,task,file
conjunction_24_accuracy,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_24_omission_rate,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_24_rt,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_8_accuracy,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_8_omission_rate,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_8_rt,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_24_accuracy,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_24_omission_rate,0.6666666666666666,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_24_rt,741.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_8_accuracy,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_8_omission_rate,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
feature_8_rt,,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
proportion_feedback,0.75,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-1.json.parquet
conjunction_24_accuracy,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
conjunction_24_omission_rate,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
conjunction_24_rt,679.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
conjunction_8_accuracy,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
conjunction_8_omission_rate,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
conjunction_8_rt,657.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_24_accuracy,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_24_omission_rate,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_24_rt,728.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_8_accuracy,1.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_8_omission_rate,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
feature_8_rt,306.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
proportion_feedback,0.0,visualSearch_practice,sub-sTest_task-visualSearch_rdoc_practice__run-test.parquet
